"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
20526806,"모후산가든","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679040000,"동복면",4679040024,"동복면",4679040024209810000,1,"대지",981,NA,"전라남도 화순군 동복면 유천리 981",467904673379,"전라남도 화순군 동복면 유치길",171,NA,"4679040024109810000015922","","전라남도 화순군 동복면 유치길 171",519913,58102,"","",NA,127.172679902876,35.0533772526724
20169975,"중장터방앗간","","F","생활서비스","F02","세탁/가사서비스","F02A04","방앗간/정미소","","",46,"전라남도",46790,"화순군",4679037000,"도암면",4679037030,"도암면",4679037030209210004,1,"대지",921,4,"전라남도 화순군 도암면 용강리 921-4",467904673430,"전라남도 화순군 도암면 중장터길",37,4,"4679037030109210004032928","","전라남도 화순군 도암면 중장터길 37-4",519842,58158,"","",NA,126.874015820237,34.9074411353153
24097509,"꽃이피네","","D","소매","D05","의복의류","D05A01","일반의류","G47416","셔츠 및 기타 의복 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030200090000,1,"대지",9,NA,"전라남도 화순군 화순읍 광덕리 9",467903291025,"전라남도 화순군 화순읍 자치샘로",86,NA,"4679025030100090000044486","","전라남도 화순군 화순읍 자치샘로 86",519803,58124,"","1",NA,126.989300106543,35.0593345850891
24989422,"명품","","D","소매","D16","화장품소매","D16A01","화장품판매점","G47813","화장품 및 방향제 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022201370002,1,"대지",137,2,"전라남도 화순군 화순읍 향청리 137-2",467903291025,"전라남도 화순군 화순읍 자치샘로",37,NA,"4679025022101370002042653","","전라남도 화순군 화순읍 자치샘로 37",519808,58119,"","",NA,126.985267244944,35.0618789506096
14239041,"미스킨케어","","F","생활서비스","F01","이/미용/건강","F01A03","비만/피부관리","","",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202310000,1,"대지",231,NA,"전라남도 화순군 화순읍 만연리 231",467903291004,"전라남도 화순군 화순읍 광덕로",170,NA,"4679025023102310000045057","화순부영아파트","전라남도 화순군 화순읍 광덕로 170",519752,58126,"","2",NA,126.993060594661,35.0602041719877
14310890,"서주개발","","L","부동산","L01","부동산중개","L01A01","부동산중개","","",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202430000,1,"대지",243,NA,"전라남도 화순군 화순읍 만연리 243",467903291004,"전라남도 화순군 화순읍 광덕로",180,NA,"4679025023102430000045157","화순부영아파트","전라남도 화순군 화순읍 광덕로 180",519754,58116,"","",NA,126.993030924407,35.0608349136715
20174809,"프렌드베이커리","","Q","음식","Q08","제과제빵떡케익","Q08A01","제과점","I56191","제과점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202420001,1,"대지",242,1,"전라남도 화순군 화순읍 만연리 242-1",467903291004,"전라남도 화순군 화순읍 광덕로",193,NA,"4679025023102420001045032","광명빌딩","전라남도 화순군 화순읍 광덕로 193",519806,58117,"","1",NA,126.99228374886,35.0618653316485
23041453,"우리미용실","","F","생활서비스","F01","이/미용/건강","F01A01","여성미용실","S96112","두발미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025035,"화순읍",4679025035205020008,1,"대지",502,8,"전라남도 화순군 화순읍 벽라리 502-8",467903291018,"전라남도 화순군 화순읍 오성로",488,4,"4679025035105020008039811","","전라남도 화순군 화순읍 오성로 488-4",519801,58109,"","",NA,126.961987156305,35.0519287208654
20181533,"수산궁","","Q","음식","Q03","일식/수산물","Q03A99","수산물전문음식점-종합","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022200520000,1,"대지",52,NA,"전라남도 화순군 화순읍 향청리 52",467903291025,"전라남도 화순군 화순읍 자치샘로",48,NA,"4679025022100540000046944","미래타워","전라남도 화순군 화순읍 자치샘로 48",519808,58118,"","1",NA,126.986219438387,35.061120713468
14288306,"BL광고기획","","F","생활서비스","F12","광고/인쇄","F12A05","광고물제작-종합","C33910","간판 및 광고물 제조업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202090000,1,"대지",209,NA,"전라남도 화순군 화순읍 만연리 209",467903291050,"전라남도 화순군 화순읍 중앙로",82,NA,"4679025023102090000044787","운암빌딩","전라남도 화순군 화순읍 중앙로 82",519806,58125,"","",NA,126.99040786721,35.0601821223983
